Timestamp,CPU Percentage,RAM Percentage,RAM Memory,GPU Memory,GPU Temperature
2024-05-29 20:59:48.376769,6.9,45.6,7780.360192,716,67
2024-05-29 20:59:53.612347,6.9,45.6,7779.794944,716,67
2024-05-29 20:59:58.878590,6.7,45.6,7777.087488,716,67
2024-05-29 21:00:04.142018,7.6,45.6,7785.259008,716,67
2024-05-29 21:00:09.408909,7.4,45.6,7783.235584,716,67
2024-05-29 21:00:14.647399,6.7,45.6,7786.422272,716,67
2024-05-29 21:00:19.908401,7.2,45.6,7782.690816,716,67
2024-05-29 21:00:25.145038,7.7,45.6,7785.734144,716,67
2024-05-29 21:00:30.408796,8.2,45.6,7782.64576,716,67
2024-05-29 21:00:35.645195,7.8,45.6,7781.748736,716,67
2024-05-29 21:00:40.907397,7.2,45.6,7778.512896,716,67
2024-05-29 21:00:46.162164,7.3,45.6,7783.15776,716,67
2024-05-29 21:00:51.425830,6.9,45.6,7781.23264,716,67
2024-05-29 21:00:56.677008,7.3,45.6,7784.558592,716,67
2024-05-29 21:01:01.936544,6.8,45.6,7784.157184,716,67
2024-05-29 21:01:07.192906,7.4,45.6,7787.524096,716,67
2024-05-29 21:01:12.454962,7.0,45.6,7785.955328,716,67
2024-05-29 21:01:17.707429,6.9,45.6,7788.572672,716,67
2024-05-29 21:01:22.972174,7.6,45.6,7786.491904,716,67
2024-05-29 21:01:28.224180,6.6,45.6,7790.096384,716,67
2024-05-29 21:01:33.458001,6.5,45.6,7789.436928,716,67
2024-05-29 21:01:38.692466,6.8,45.6,7793.516544,716,67
2024-05-29 21:01:43.956021,7.8,45.6,7791.80032,716,67
2024-05-29 21:01:49.175441,6.8,45.6,7784.46848,716,67
2024-05-29 21:01:54.441306,8.2,45.6,7785.08288,716,67
2024-05-29 21:01:59.691530,6.7,45.7,7807.123456,716,67
2024-05-29 21:02:04.943957,7.2,45.7,7796.40832,716,67
2024-05-29 21:02:10.176573,7.1,45.6,7790.718976,716,67
2024-05-29 21:02:15.411675,6.9,45.7,7794.262016,716,67
2024-05-29 21:02:20.646212,6.7,45.6,7792.386048,716,67
2024-05-29 21:02:25.895222,7.6,45.7,7795.494912,716,67
2024-05-29 21:02:31.145668,7.8,45.7,7798.19008,716,67
2024-05-29 21:02:36.395307,7.3,45.7,7796.703232,716,67
2024-05-29 21:02:41.659812,7.5,45.6,7792.61952,716,67
2024-05-29 21:02:46.908475,7.1,45.7,7794.143232,716,67
2024-05-29 21:02:52.162166,7.0,45.6,7791.73888,716,67
2024-05-29 21:02:57.410271,6.8,45.6,7791.927296,716,67
2024-05-29 21:03:02.673564,7.0,45.6,7791.96416,716,67
2024-05-29 21:03:07.926065,7.9,45.7,7794.315264,716,67
2024-05-29 21:03:13.181760,7.6,45.6,7792.656384,716,67
2024-05-29 21:03:18.440863,7.2,45.6,7793.205248,716,67
2024-05-29 21:03:23.691626,7.7,45.6,7792.746496,716,67
2024-05-29 21:03:28.957054,7.2,45.6,7791.067136,716,67
2024-05-29 21:03:34.208000,7.3,45.6,7793.58208,716,67
